,loss,categorical_accuracy,auc
0,0.7149208188056946,0.5046584010124207,0.5146942734718323
1,0.7020606398582458,0.5295031070709229,0.5196607112884521
2,0.6929851770401001,0.5605590343475342,0.548233687877655
3,0.6882686018943787,0.5582298040390015,0.5444982051849365
4,0.6849546432495117,0.5737577676773071,0.5608890652656555
5,0.6878653764724731,0.5729813575744629,0.5537645816802979
6,0.6863818168640137,0.5760869383811951,0.5537953972816467
7,0.6850582361221313,0.5714285969734192,0.5589941143989563
8,0.6871972680091858,0.5753105878829956,0.5538149476051331
9,0.6865533590316772,0.58152174949646,0.5561779141426086
10,0.6851896643638611,0.58152174949646,0.561991274356842
11,0.6838813424110413,0.5791925191879272,0.5625659823417664
12,0.6874557137489319,0.5838509202003479,0.56043940782547
13,0.6826488375663757,0.5830745100975037,0.5571809411048889
14,0.6847326159477234,0.5776397585868835,0.5535669326782227
15,0.6848936676979065,0.5714285969734192,0.563590407371521
16,0.685687780380249,0.5776397585868835,0.5618721842765808
17,0.6823018193244934,0.5784161686897278,0.5693145394325256
18,0.6850321292877197,0.5791925191879272,0.5630367994308472
19,0.683052659034729,0.5776397585868835,0.5668820142745972
20,0.6824093461036682,0.58152174949646,0.5589290857315063
21,0.6830535531044006,0.5753105878829956,0.557844877243042
22,0.6859036684036255,0.5807453393936157,0.5600981712341309
23,0.6814455389976501,0.58152174949646,0.568128228187561
24,0.6825008988380432,0.5784161686897278,0.5718293786048889
25,0.6813700199127197,0.5791925191879272,0.5702564120292664
26,0.679304838180542,0.5838509202003479,0.5749416351318359
27,0.6809143424034119,0.5822981595993042,0.5738978385925293
28,0.678551197052002,0.5830745100975037,0.5786153674125671
29,0.6780660152435303,0.5822981595993042,0.5793013572692871
30,0.6805350184440613,0.58152174949646,0.5731082558631897
31,0.680275559425354,0.5799689292907715,0.5738340616226196
32,0.6796722412109375,0.5784161686897278,0.5745515823364258
33,0.6806920766830444,0.5807453393936157,0.5739392042160034
34,0.6793463826179504,0.5807453393936157,0.5700417757034302
35,0.6793840527534485,0.58152174949646,0.5750263333320618
36,0.677503228187561,0.5854037404060364,0.5773649215698242
37,0.6767623424530029,0.5784161686897278,0.5741817951202393
38,0.6812537312507629,0.5807453393936157,0.568842887878418
39,0.6792697906494141,0.5784161686897278,0.5649726986885071
40,0.6760064959526062,0.5854037404060364,0.5781797766685486
41,0.6750665307044983,0.5799689292907715,0.5828391313552856
42,0.6756308674812317,0.5799689292907715,0.5744888782501221
43,0.6726561784744263,0.5830745100975037,0.5799291729927063
44,0.6747452616691589,0.5791925191879272,0.5761309862136841
45,0.6720958948135376,0.5799689292907715,0.5767488479614258
46,0.6713600754737854,0.5861801505088806,0.5794704556465149
47,0.6691263318061829,0.5846273303031921,0.5821362733840942
48,0.6680037975311279,0.5962733030319214,0.5838358402252197
49,0.6705553531646729,0.5854037404060364,0.5757291316986084
50,0.666759729385376,0.5954968929290771,0.577716588973999
51,0.6623621582984924,0.5854037404060364,0.5781428217887878
52,0.6548699140548706,0.6211180090904236,0.6040996313095093
53,0.6602266430854797,0.5931677222251892,0.5874149203300476
54,0.6565564274787903,0.5947204828262329,0.5832921266555786
55,0.6552135348320007,0.6149068474769592,0.5969361066818237
56,0.6478123664855957,0.6195651888847351,0.6060879826545715
57,0.6386671662330627,0.6304348111152649,0.6168153285980225
58,0.6394105553627014,0.6366459727287292,0.6120188236236572
59,0.6367161273956299,0.6203415989875793,0.6077932715415955
60,0.6362856030464172,0.6265528202056885,0.6058378219604492
61,0.6268517374992371,0.6560559272766113,0.6190199851989746
62,0.6081907153129578,0.6661490797996521,0.6408513188362122
63,0.5820030570030212,0.6964285969734192,0.6702438592910767
64,0.6029974222183228,0.6645962595939636,0.6353074312210083
65,0.5722231268882751,0.7049689292907715,0.6634289026260376
66,0.5500630736351013,0.7313664555549622,0.6869900226593018
67,0.5247656106948853,0.7321428656578064,0.7010664343833923
68,0.5131176710128784,0.7445651888847351,0.7190948128700256
69,0.4689050018787384,0.7958074808120728,0.7513373494148254
70,0.44306567311286926,0.7996894121170044,0.7676780819892883
71,0.3941040635108948,0.8338509202003479,0.8004815578460693
72,0.35467544198036194,0.8594720363616943,0.8280758857727051
73,0.3737697899341583,0.8462733030319214,0.8171846270561218
74,0.34692949056625366,0.8555900454521179,0.829134464263916
75,0.279603511095047,0.8913043737411499,0.876558244228363
76,0.1761161983013153,0.9409937858581543,0.9181186556816101
77,0.19789400696754456,0.9262422323226929,0.911766767501831
78,0.12586908042430878,0.9635093212127686,0.9522510170936584
79,0.18469293415546417,0.9355590343475342,0.9257398247718811
